Id,Time[ns],0:I²C: Address/Data
785,5125582740.00,ACK
786,5125584600.00,Stop
787,5126561900.00,Start
788,5126563160.00,Address write: DE
789,5126571060.00,Write
790,5126572220.00,ACK
791,5126573580.00,Data write: AC
792,5126582660.00,ACK
793,5126584520.00,Stop
794,5127561920.00,Start
795,5127563180.00,Address write: DE
796,5127571080.00,Write
797,5127572240.00,ACK
798,5127573600.00,Data write: AC
799,5127582680.00,ACK
800,5127584540.00,Stop
801,5128561840.00,Start
802,5128563120.00,Address write: DE
803,5128571020.00,Write
804,5128572180.00,ACK
805,5128573540.00,Data write: AC
806,5128582620.00,ACK
807,5128584480.00,Stop
808,5129561880.00,Start
809,5129563140.00,Address write: DE
810,5129571040.00,Write
811,5129572200.00,ACK
812,5129573560.00,Data write: AC
813,5129582640.00,ACK
814,5129584500.00,Stop
815,5130561800.00,Start
816,5130563080.00,Address write: DE
817,5130570980.00,Write
818,5130572140.00,ACK
819,5130573500.00,Data write: AC
820,5130582560.00,ACK
821,5130584420.00,Stop
822,5131561820.00,Start
823,5131563100.00,Address write: DE
824,5131571000.00,Write
825,5131572160.00,ACK
826,5131573520.00,Data write: AC
827,5131582600.00,ACK
828,5131584460.00,Stop
829,5132561760.00,Start
830,5132563020.00,Address write: DE
831,5132570920.00,Write
832,5132572080.00,ACK
833,5132573460.00,Data write: AC
834,5132582520.00,ACK
835,5132584380.00,Stop
836,5133561780.00,Start
837,5133563040.00,Address write: DE
838,5133570940.00,Write
839,5133572100.00,ACK
840,5133573480.00,Data write: AC
841,5133582540.00,ACK
842,5133584400.00,Stop
843,5134561720.00,Start
844,5134562980.00,Address write: DE
845,5134570880.00,Write
846,5134572040.00,ACK
847,5134573400.00,Data write: AC
848,5134582480.00,ACK
849,5134584340.00,Stop
850,5135561740.00,Start
851,5135563000.00,Address write: DE
852,5135570900.00,Write
853,5135572060.00,ACK
854,5135573420.00,Data write: AC
855,5135582500.00,ACK
856,5135584360.00,Stop
857,5136561660.00,Start
858,5136562940.00,Address write: DE
859,5136570840.00,Write
860,5136572000.00,ACK
861,5136573360.00,Data write: AC
862,5136582440.00,ACK
863,5136584300.00,Stop
864,5137561680.00,Start
865,5137562960.00,Address write: DE
866,5137570860.00,Write
867,5137572020.00,ACK
868,5137573380.00,Data write: AC
869,5137582460.00,ACK
870,5137584320.00,Stop
871,5138561620.00,Start
872,5138562880.00,Address write: DE
873,5138570800.00,Write
874,5138571960.00,ACK
875,5138573320.00,Data write: AC
876,5138582380.00,ACK
877,5138584240.00,Stop
878,5139561640.00,Start
879,5139562920.00,Address write: DE
880,5139570820.00,Write
881,5139571980.00,ACK
882,5139573340.00,Data write: AC
883,5139582420.00,ACK
884,5139584280.00,Stop
885,5140561580.00,Start
886,5140562840.00,Address write: DE
887,5140570740.00,Write
888,5140571900.00,ACK
889,5140573260.00,Data write: AC
890,5140582340.00,ACK
891,5140584200.00,Stop
892,5141561600.00,Start
893,5141562860.00,Address write: DE
894,5141570760.00,Write
895,5141571920.00,ACK
896,5141573280.00,Data write: AC
897,5141582360.00,ACK
898,5141584220.00,Stop
899,5142566180.00,Start
900,5142567560.00,Address write: DE
901,5142575520.00,Write
902,5142576680.00,ACK
903,5142578080.00,Data write: 86
904,5142587160.00,ACK
905,5142588520.00,Data write: 01
906,5142597600.00,ACK
907,5142598940.00,Data write: 82
908,5142608040.00,ACK
909,5142609380.00,Data write: 01
910,5142618480.00,ACK
911,5142619820.00,Data write: 01
912,5142628900.00,ACK
913,5142630260.00,Data write: 00
914,5142639360.00,ACK
915,5142640700.00,Data write: 00
916,5142649800.00,ACK
917,5142651140.00,Data write: 01
918,5142660240.00,ACK
919,5142661580.00,Data write: 00
920,5142670680.00,ACK
921,5142672640.00,Stop
